,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
SGEN,-0.006414358868784925,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.281924596827649e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00013168386553801543,0.0,-0.0,-0.0
SPLK,-0.006090608884624263,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.5150660192480016e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-7.50162659624784e-05,-0.0,-0.0,-0.0
ORLY,-0.0028870679379070364,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-9.461244388642449e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-5.911419616446385e-06,0.0,-0.0,-0.0
DLTR,-0.01126448969230138,-9.477535586953978e-18,0.00024668925709615694,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2.3475828403591937e-07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0546966227596294e-05,-0.0,-6.631604533469317e-08,-0.0,-0.0,-0.0
MTCH,-0.01045581912861868,-0.0,-0.0006016539914030689,0.014571776681391887,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.799590902807335e-05,-8.033428038093487e-05,0.0,0.0,-0.0,0.0,-0.003565047360793592,0.0,0.0,-1.5577130264141449e-06,0.0,-8.138327070069168e-05,-0.0,0.0,0.0
MCHP,-0.023041900625658116,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.2431726361179667e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3.016226147535793e-06,-0.0,0.0,-0.0
INCY,-0.010064910300505558,-1.1384710080757754e-18,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.851364750627188e-05,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.594739434031044e-05,0.0,0.0,-0.0
PCAR,-0.02166587692491415,-1.0335457587667793e-17,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3.542990387474303e-06,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-2.091082998701373e-06,-0.0,-0.0,-0.0
CTSH,-0.016490514484763855,-1.0872074178280395e-19,-5.167092068995383e-05,-0.0,0.0,0.0,0.0,9.938814406620149e-05,0.0,0.0,-0.0,0.0,7.498281945308298e-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2259951346450096e-05,-0.0,3.0517652062921293e-06,-0.0,0.0,0.0
FAST,-0.027917383354111338,-7.947751648081185e-18,-0.0,0.0004917641247757036,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.6037958373388006e-05,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-2.979491323454983e-05,-0.0,-0.0,-0.0
